week_ending,sex,age_band,observed_deaths,edition_year,is_final,source_filename
2012-06-08,All people,1-14,9,2012,False,2012_publishedweek2012.xls
2012-06-15,All people,1-14,16,2012,False,2012_publishedweek2012.xls
2012-06-22,All people,1-14,17,2012,False,2012_publishedweek2012.xls
2012-06-29,All people,1-14,16,2012,False,2012_publishedweek2012.xls
2012-07-06,All people,1-14,17,2012,False,2012_publishedweek2012.xls
2012-07-13,All people,1-14,16,2012,False,2012_publishedweek2012.xls
2012-07-20,All people,1-14,26,2012,False,2012_publishedweek2012.xls
2012-07-27,All people,1-14,15,2012,False,2012_publishedweek2012.xls
2012-08-03,All people,1-14,13,2012,False,2012_publishedweek2012.xls
2012-08-10,All people,1-14,38,2012,False,2012_publishedweek2012.xls
2012-08-17,All people,1-14,14,2012,False,2012_publishedweek2012.xls
2012-08-24,All people,1-14,19,2012,False,2012_publishedweek2012.xls
2012-08-31,All people,1-14,13,2012,False,2012_publishedweek2012.xls
2012-09-07,All people,1-14,20,2012,False,2012_publishedweek2012.xls
2012-09-14,All people,1-14,19,2012,False,2012_publishedweek2012.xls
2012-09-21,All people,1-14,15,2012,False,2012_publishedweek2012.xls
2012-09-28,All people,1-14,16,2012,False,2012_publishedweek2012.xls
2012-10-05,All people,1-14,16,2012,False,2012_publishedweek2012.xls
2012-10-12,All people,1-14,11,2012,False,2012_publishedweek2012.xls
2012-10-19,All people,1-14,24,2012,False,2012_publishedweek2012.xls
2012-10-26,All people,1-14,31,2012,False,2012_publishedweek2012.xls
2012-11-02,All people,1-14,21,2012,False,2012_publishedweek2012.xls
2012-11-09,All people,1-14,25,2012,False,2012_publishedweek2012.xls
2012-11-16,All people,1-14,19,2012,False,2012_publishedweek2012.xls
2012-11-23,All people,1-14,18,2012,False,2012_publishedweek2012.xls
2012-11-30,All people,1-14,19,2012,False,2012_publishedweek2012.xls
2012-12-07,All people,1-14,32,2012,False,2012_publishedweek2012.xls
2012-12-14,All people,1-14,23,2012,False,2012_publishedweek2012.xls
2012-12-21,All people,1-14,23,2012,False,2012_publishedweek2012.xls
2012-12-28,All people,1-14,15,2012,False,2012_publishedweek2012.xls
2013-01-04,All people,1-14,24,2013,False,2013_publishedweek2013.xls
2013-01-11,All people,1-14,27,2013,False,2013_publishedweek2013.xls
2013-01-18,All people,1-14,11,2013,False,2013_publishedweek2013.xls
2013-01-25,All people,1-14,20,2013,False,2013_publishedweek2013.xls
2013-02-01,All people,1-14,24,2013,False,2013_publishedweek2013.xls
2013-02-08,All people,1-14,21,2013,False,2013_publishedweek2013.xls
2013-02-15,All people,1-14,31,2013,False,2013_publishedweek2013.xls
2013-02-22,All people,1-14,22,2013,False,2013_publishedweek2013.xls
2013-03-01,All people,1-14,25,2013,False,2013_publishedweek2013.xls
2013-03-08,All people,1-14,24,2013,False,2013_publishedweek2013.xls
2013-03-15,All people,1-14,27,2013,False,2013_publishedweek2013.xls
2013-03-22,All people,1-14,15,2013,False,2013_publishedweek2013.xls
2013-03-29,All people,1-14,22,2013,False,2013_publishedweek2013.xls
2013-04-05,All people,1-14,21,2013,False,2013_publishedweek2013.xls
2013-04-12,All people,1-14,20,2013,False,2013_publishedweek2013.xls
2013-04-19,All people,1-14,24,2013,False,2013_publishedweek2013.xls
2013-04-26,All people,1-14,17,2013,False,2013_publishedweek2013.xls
2013-05-03,All people,1-14,23,2013,False,2013_publishedweek2013.xls
2013-05-10,All people,1-14,17,2013,False,2013_publishedweek2013.xls
2013-05-17,All people,1-14,20,2013,False,2013_publishedweek2013.xls
2013-05-24,All people,1-14,24,2013,False,2013_publishedweek2013.xls
2013-05-31,All people,1-14,17,2013,False,2013_publishedweek2013.xls
2013-06-07,All people,1-14,19,2013,False,2013_publishedweek2013.xls
2013-06-14,All people,1-14,20,2013,False,2013_publishedweek2013.xls
2013-06-21,All people,1-14,24,2013,False,2013_publishedweek2013.xls
2013-06-28,All people,1-14,20,2013,False,2013_publishedweek2013.xls
2013-07-05,All people,1-14,16,2013,False,2013_publishedweek2013.xls
2013-07-12,All people,1-14,26,2013,False,2013_publishedweek2013.xls
2013-07-19,All people,1-14,17,2013,False,2013_publishedweek2013.xls
2013-07-26,All people,1-14,14,2013,False,2013_publishedweek2013.xls
2013-08-02,All people,1-14,20,2013,False,2013_publishedweek2013.xls
2013-08-09,All people,1-14,11,2013,False,2013_publishedweek2013.xls
2013-08-16,All people,1-14,22,2013,False,2013_publishedweek2013.xls
2013-08-23,All people,1-14,20,2013,False,2013_publishedweek2013.xls
2013-08-30,All people,1-14,15,2013,False,2013_publishedweek2013.xls
2013-09-06,All people,1-14,23,2013,False,2013_publishedweek2013.xls
2013-09-13,All people,1-14,19,2013,False,2013_publishedweek2013.xls
2013-09-20,All people,1-14,18,2013,False,2013_publishedweek2013.xls
2013-09-27,All people,1-14,18,2013,False,2013_publishedweek2013.xls
2013-10-04,All people,1-14,16,2013,False,2013_publishedweek2013.xls
2013-10-11,All people,1-14,18,2013,False,2013_publishedweek2013.xls
2013-10-18,All people,1-14,18,2013,False,2013_publishedweek2013.xls
2013-10-25,All people,1-14,25,2013,False,2013_publishedweek2013.xls
2013-11-01,All people,1-14,15,2013,False,2013_publishedweek2013.xls
2013-11-08,All people,1-14,16,2013,False,2013_publishedweek2013.xls
2013-11-15,All people,1-14,29,2013,False,2013_publishedweek2013.xls
