week_ending,observed_deaths,edition_year,is_final,source_filename
2015-07-24,8791,2015,False,2015_publishedweek2015.xls
2015-07-31,8617,2015,False,2015_publishedweek2015.xls
2015-08-07,8862,2015,False,2015_publishedweek2015.xls
2015-08-14,9148,2015,False,2015_publishedweek2015.xls
2015-08-21,9121,2015,False,2015_publishedweek2015.xls
2015-08-28,9026,2015,False,2015_publishedweek2015.xls
2015-09-04,7878,2015,False,2015_publishedweek2015.xls
2015-09-11,9258,2015,False,2015_publishedweek2015.xls
2015-09-18,9097,2015,False,2015_publishedweek2015.xls
2015-09-25,9529,2015,False,2015_publishedweek2015.xls
2015-10-02,9410,2015,False,2015_publishedweek2015.xls
2015-10-09,9776,2015,False,2015_publishedweek2015.xls
2015-10-16,9511,2015,False,2015_publishedweek2015.xls
2015-10-23,9711,2015,False,2015_publishedweek2015.xls
2015-10-30,9618,2015,False,2015_publishedweek2015.xls
2015-11-06,9994,2015,False,2015_publishedweek2015.xls
2015-11-13,9938,2015,False,2015_publishedweek2015.xls
2015-11-20,9830,2015,False,2015_publishedweek2015.xls
2015-11-27,9822,2015,False,2015_publishedweek2015.xls
2015-12-04,10365,2015,False,2015_publishedweek2015.xls
2015-12-11,10269,2015,False,2015_publishedweek2015.xls
2015-12-18,10689,2015,False,2015_publishedweek2015.xls
2015-12-25,8630,2015,False,2015_publishedweek2015.xls
2016-01-01,7524,2015,False,2015_publishedweek2015.xls
2016-01-08,13045,2016,False,2016_publishedweek522016.xls
2016-01-15,11501,2016,False,2016_publishedweek522016.xls
2016-01-22,11473,2016,False,2016_publishedweek522016.xls
2016-01-29,11317,2016,False,2016_publishedweek522016.xls
2016-02-05,11052,2016,False,2016_publishedweek522016.xls
2016-02-12,11170,2016,False,2016_publishedweek522016.xls
2016-02-19,10590,2016,False,2016_publishedweek522016.xls
2016-02-26,11056,2016,False,2016_publishedweek522016.xls
2016-03-04,11285,2016,False,2016_publishedweek522016.xls
2016-03-11,11010,2016,False,2016_publishedweek522016.xls
2016-03-18,11022,2016,False,2016_publishedweek522016.xls
2016-03-25,9635,2016,False,2016_publishedweek522016.xls
2016-04-01,10286,2016,False,2016_publishedweek522016.xls
2016-04-08,11599,2016,False,2016_publishedweek522016.xls
2016-04-15,11417,2016,False,2016_publishedweek522016.xls
2016-04-22,10925,2016,False,2016_publishedweek522016.xls
2016-04-29,10413,2016,False,2016_publishedweek522016.xls
2016-05-06,9137,2016,False,2016_publishedweek522016.xls
2016-05-13,10637,2016,False,2016_publishedweek522016.xls
2016-05-20,9953,2016,False,2016_publishedweek522016.xls
2016-05-27,9739,2016,False,2016_publishedweek522016.xls
2016-06-03,7909,2016,False,2016_publishedweek522016.xls
2016-06-10,9873,2016,False,2016_publishedweek522016.xls
2016-06-17,9386,2016,False,2016_publishedweek522016.xls
2016-06-24,9365,2016,False,2016_publishedweek522016.xls
2016-07-01,9228,2016,False,2016_publishedweek522016.xls
2016-07-08,9138,2016,False,2016_publishedweek522016.xls
2016-07-15,9388,2016,False,2016_publishedweek522016.xls
2016-07-22,9350,2016,False,2016_publishedweek522016.xls
2016-07-29,9335,2016,False,2016_publishedweek522016.xls
2016-08-05,9182,2016,False,2016_publishedweek522016.xls
2016-08-12,9172,2016,False,2016_publishedweek522016.xls
2016-08-19,9070,2016,False,2016_publishedweek522016.xls
2016-08-26,9319,2016,False,2016_publishedweek522016.xls
2016-09-02,7923,2016,False,2016_publishedweek522016.xls
2016-09-09,9399,2016,False,2016_publishedweek522016.xls
2016-09-16,9124,2016,False,2016_publishedweek522016.xls
2016-09-23,8945,2016,False,2016_publishedweek522016.xls
2016-09-30,8994,2016,False,2016_publishedweek522016.xls
2016-10-07,9291,2016,False,2016_publishedweek522016.xls
2016-10-14,9719,2016,False,2016_publishedweek522016.xls
2016-10-21,9768,2016,False,2016_publishedweek522016.xls
2016-10-28,9724,2016,False,2016_publishedweek522016.xls
2016-11-04,10152,2016,False,2016_publishedweek522016.xls
2016-11-11,10470,2016,False,2016_publishedweek522016.xls
2016-11-18,10694,2016,False,2016_publishedweek522016.xls
2016-11-25,10603,2016,False,2016_publishedweek522016.xls
2016-12-02,10439,2016,False,2016_publishedweek522016.xls
2016-12-09,11223,2016,False,2016_publishedweek522016.xls
2016-12-16,10533,2016,False,2016_publishedweek522016.xls
2016-12-23,11493,2016,False,2016_publishedweek522016.xls
2016-12-30,8003,2016,False,2016_publishedweek522016.xls
2017-01-06,11991,2017,False,2017_publishedweek522017.xls
2017-01-13,13715,2017,False,2017_publishedweek522017.xls
2017-01-20,13610,2017,False,2017_publishedweek522017.xls
2017-01-27,12877,2017,False,2017_publishedweek522017.xls
2017-02-03,12485,2017,False,2017_publishedweek522017.xls
2017-02-10,12269,2017,False,2017_publishedweek522017.xls
2017-02-17,11644,2017,False,2017_publishedweek522017.xls
2017-02-24,11794,2017,False,2017_publishedweek522017.xls
2017-03-03,11248,2017,False,2017_publishedweek522017.xls
2017-03-10,11077,2017,False,2017_publishedweek522017.xls
2017-03-17,10697,2017,False,2017_publishedweek522017.xls
2017-03-24,10325,2017,False,2017_publishedweek522017.xls
