year,sex,age_band,icd_chapter_code,icd_chapter_name,place,deaths
2017,Female,45-64,G00 to G99,Chapter 6 - Diseases of the nervous system,Non-local authority care homes,153
2017,Female,45-64,G00 to G99,Chapter 6 - Diseases of the nervous system,Other communal establishments,22
2017,Female,45-64,G00 to G99,Chapter 6 - Diseases of the nervous system,Private homes,244
2017,Female,45-64,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,All places,0
2017,Female,45-64,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Elsewhere,0
2017,Female,45-64,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Local authority care homes,0
2017,Female,45-64,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,NHS hospices,0
2017,Female,45-64,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,NHS hospitals,0
2017,Female,45-64,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Non-NHS hospices,0
2017,Female,45-64,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Non-NHS hospitals,0
2017,Female,45-64,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Non-local authority care homes,0
2017,Female,45-64,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Other communal establishments,0
2017,Female,45-64,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Private homes,0
2017,Female,45-64,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,All places,9
2017,Female,45-64,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Elsewhere,0
2017,Female,45-64,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Local authority care homes,0
2017,Female,45-64,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,NHS hospices,0
2017,Female,45-64,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,NHS hospitals,8
2017,Female,45-64,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Non-NHS hospices,0
2017,Female,45-64,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Non-NHS hospitals,0
2017,Female,45-64,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Non-local authority care homes,0
2017,Female,45-64,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Other communal establishments,0
2017,Female,45-64,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Private homes,1
2017,Female,45-64,I00 to I99,Chapter 9 - Diseases of the circulatory system,All places,3972
2017,Female,45-64,I00 to I99,Chapter 9 - Diseases of the circulatory system,Elsewhere,136
2017,Female,45-64,I00 to I99,Chapter 9 - Diseases of the circulatory system,Local authority care homes,2
2017,Female,45-64,I00 to I99,Chapter 9 - Diseases of the circulatory system,NHS hospices,1
2017,Female,45-64,I00 to I99,Chapter 9 - Diseases of the circulatory system,NHS hospitals,2178
2017,Female,45-64,I00 to I99,Chapter 9 - Diseases of the circulatory system,Non-NHS hospices,19
2017,Female,45-64,I00 to I99,Chapter 9 - Diseases of the circulatory system,Non-NHS hospitals,2
2017,Female,45-64,I00 to I99,Chapter 9 - Diseases of the circulatory system,Non-local authority care homes,65
2017,Female,45-64,I00 to I99,Chapter 9 - Diseases of the circulatory system,Other communal establishments,8
2017,Female,45-64,I00 to I99,Chapter 9 - Diseases of the circulatory system,Private homes,1561
2017,Female,45-64,J00 to J99,Chapter 10 - Diseases of the respiratory system,All places,2193
2017,Female,45-64,J00 to J99,Chapter 10 - Diseases of the respiratory system,Elsewhere,29
2017,Female,45-64,J00 to J99,Chapter 10 - Diseases of the respiratory system,Local authority care homes,1
2017,Female,45-64,J00 to J99,Chapter 10 - Diseases of the respiratory system,NHS hospices,5
2017,Female,45-64,J00 to J99,Chapter 10 - Diseases of the respiratory system,NHS hospitals,1446
2017,Female,45-64,J00 to J99,Chapter 10 - Diseases of the respiratory system,Non-NHS hospices,33
2017,Female,45-64,J00 to J99,Chapter 10 - Diseases of the respiratory system,Non-NHS hospitals,0
2017,Female,45-64,J00 to J99,Chapter 10 - Diseases of the respiratory system,Non-local authority care homes,55
2017,Female,45-64,J00 to J99,Chapter 10 - Diseases of the respiratory system,Other communal establishments,5
2017,Female,45-64,J00 to J99,Chapter 10 - Diseases of the respiratory system,Private homes,619
2017,Female,45-64,K00 to K93,Chapter 11 - Diseases of the digestive system,All places,2230
2017,Female,45-64,K00 to K93,Chapter 11 - Diseases of the digestive system,Elsewhere,21
2017,Female,45-64,K00 to K93,Chapter 11 - Diseases of the digestive system,Local authority care homes,1
2017,Female,45-64,K00 to K93,Chapter 11 - Diseases of the digestive system,NHS hospices,9
2017,Female,45-64,K00 to K93,Chapter 11 - Diseases of the digestive system,NHS hospitals,1659
2017,Female,45-64,K00 to K93,Chapter 11 - Diseases of the digestive system,Non-NHS hospices,31
2017,Female,45-64,K00 to K93,Chapter 11 - Diseases of the digestive system,Non-NHS hospitals,1
2017,Female,45-64,K00 to K93,Chapter 11 - Diseases of the digestive system,Non-local authority care homes,24
2017,Female,45-64,K00 to K93,Chapter 11 - Diseases of the digestive system,Other communal establishments,4
2017,Female,45-64,K00 to K93,Chapter 11 - Diseases of the digestive system,Private homes,480
2017,Female,45-64,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,All places,94
2017,Female,45-64,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Elsewhere,0
2017,Female,45-64,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Local authority care homes,0
2017,Female,45-64,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,NHS hospices,0
2017,Female,45-64,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,NHS hospitals,88
2017,Female,45-64,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Non-NHS hospices,0
2017,Female,45-64,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Non-NHS hospitals,0
2017,Female,45-64,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Non-local authority care homes,0
2017,Female,45-64,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Other communal establishments,0
2017,Female,45-64,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Private homes,6
2017,Female,45-64,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,All places,178
2017,Female,45-64,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Elsewhere,0
2017,Female,45-64,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Local authority care homes,0
2017,Female,45-64,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,NHS hospices,0
2017,Female,45-64,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,NHS hospitals,156
2017,Female,45-64,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Non-NHS hospices,4
2017,Female,45-64,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Non-NHS hospitals,0
2017,Female,45-64,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Non-local authority care homes,2
2017,Female,45-64,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Other communal establishments,1
2017,Female,45-64,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Private homes,15
2017,Female,45-64,N00 to N99,Chapter 14 - Diseases of the genitourinary system,All places,209
2017,Female,45-64,N00 to N99,Chapter 14 - Diseases of the genitourinary system,Elsewhere,2
2017,Female,45-64,N00 to N99,Chapter 14 - Diseases of the genitourinary system,Local authority care homes,0
2017,Female,45-64,N00 to N99,Chapter 14 - Diseases of the genitourinary system,NHS hospices,1
2017,Female,45-64,N00 to N99,Chapter 14 - Diseases of the genitourinary system,NHS hospitals,162
2017,Female,45-64,N00 to N99,Chapter 14 - Diseases of the genitourinary system,Non-NHS hospices,4
2017,Female,45-64,N00 to N99,Chapter 14 - Diseases of the genitourinary system,Non-NHS hospitals,0
2017,Female,45-64,N00 to N99,Chapter 14 - Diseases of the genitourinary system,Non-local authority care homes,5
2017,Female,45-64,N00 to N99,Chapter 14 - Diseases of the genitourinary system,Other communal establishments,0
2017,Female,45-64,N00 to N99,Chapter 14 - Diseases of the genitourinary system,Private homes,35
2017,Female,45-64,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",All places,1
2017,Female,45-64,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",Elsewhere,0
2017,Female,45-64,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",Local authority care homes,0
2017,Female,45-64,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",NHS hospices,0
2017,Female,45-64,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",NHS hospitals,1
2017,Female,45-64,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",Non-NHS hospices,0
2017,Female,45-64,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",Non-NHS hospitals,0
2017,Female,45-64,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",Non-local authority care homes,0
2017,Female,45-64,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",Other communal establishments,0
2017,Female,45-64,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",Private homes,0
2017,Female,45-64,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,All places,0
2017,Female,45-64,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,Elsewhere,0
2017,Female,45-64,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,Local authority care homes,0
2017,Female,45-64,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,NHS hospices,0
2017,Female,45-64,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,NHS hospitals,0
2017,Female,45-64,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,Non-NHS hospices,0
2017,Female,45-64,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,Non-NHS hospitals,0
2017,Female,45-64,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,Non-local authority care homes,0
2017,Female,45-64,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,Other communal establishments,0
2017,Female,45-64,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,Private homes,0
2017,Female,45-64,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",All places,234
2017,Female,45-64,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",Elsewhere,4
2017,Female,45-64,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",Local authority care homes,1
2017,Female,45-64,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",NHS hospices,0
2017,Female,45-64,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",NHS hospitals,105
2017,Female,45-64,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",Non-NHS hospices,3
2017,Female,45-64,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",Non-NHS hospitals,0
2017,Female,45-64,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",Non-local authority care homes,42
2017,Female,45-64,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",Other communal establishments,16
2017,Female,45-64,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",Private homes,63
2017,Female,45-64,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",All places,132
2017,Female,45-64,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Elsewhere,10
2017,Female,45-64,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Local authority care homes,0
2017,Female,45-64,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",NHS hospices,0
2017,Female,45-64,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",NHS hospitals,7
2017,Female,45-64,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Non-NHS hospices,0
2017,Female,45-64,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Non-NHS hospitals,0
2017,Female,45-64,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Non-local authority care homes,0
2017,Female,45-64,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other communal establishments,1
2017,Female,45-64,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Private homes,114
2017,Female,45-64,U00 to U85,Chapter 22 - Codes for special purposes,All places,0
2017,Female,45-64,U00 to U85,Chapter 22 - Codes for special purposes,Elsewhere,0
2017,Female,45-64,U00 to U85,Chapter 22 - Codes for special purposes,Local authority care homes,0
2017,Female,45-64,U00 to U85,Chapter 22 - Codes for special purposes,NHS hospices,0
2017,Female,45-64,U00 to U85,Chapter 22 - Codes for special purposes,NHS hospitals,0
2017,Female,45-64,U00 to U85,Chapter 22 - Codes for special purposes,Non-NHS hospices,0
2017,Female,45-64,U00 to U85,Chapter 22 - Codes for special purposes,Non-NHS hospitals,0
2017,Female,45-64,U00 to U85,Chapter 22 - Codes for special purposes,Non-local authority care homes,0
2017,Female,45-64,U00 to U85,Chapter 22 - Codes for special purposes,Other communal establishments,0
2017,Female,45-64,U00 to U85,Chapter 22 - Codes for special purposes,Private homes,0
2017,Female,45-64,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,All places,1347
2017,Female,45-64,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,Elsewhere,218
2017,Female,45-64,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,Local authority care homes,1
2017,Female,45-64,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,NHS hospices,0
2017,Female,45-64,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,NHS hospitals,427
2017,Female,45-64,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,Non-NHS hospices,6
2017,Female,45-64,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,Non-NHS hospitals,1
2017,Female,45-64,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,Non-local authority care homes,9
2017,Female,45-64,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,Other communal establishments,7
2017,Female,45-64,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,Private homes,678
2017,Female,65-74,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,All places,381
2017,Female,65-74,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Elsewhere,3
2017,Female,65-74,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Local authority care homes,1
2017,Female,65-74,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,NHS hospices,1
2017,Female,65-74,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,NHS hospitals,320
2017,Female,65-74,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Non-NHS hospices,13
2017,Female,65-74,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Non-NHS hospitals,0
2017,Female,65-74,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Non-local authority care homes,18
2017,Female,65-74,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Other communal establishments,0
2017,Female,65-74,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Private homes,25
2017,Female,65-74,A00 to R99 U00 to Y89,All causes,All places,36739
2017,Female,65-74,A00 to R99 U00 to Y89,All causes,Elsewhere,585
2017,Female,65-74,A00 to R99 U00 to Y89,All causes,Local authority care homes,141
2017,Female,65-74,A00 to R99 U00 to Y89,All causes,NHS hospices,527
2017,Female,65-74,A00 to R99 U00 to Y89,All causes,NHS hospitals,18221
2017,Female,65-74,A00 to R99 U00 to Y89,All causes,Non-NHS hospices,3521
2017,Female,65-74,A00 to R99 U00 to Y89,All causes,Non-NHS hospitals,45
2017,Female,65-74,A00 to R99 U00 to Y89,All causes,Non-local authority care homes,3279
2017,Female,65-74,A00 to R99 U00 to Y89,All causes,Other communal establishments,97
2017,Female,65-74,A00 to R99 U00 to Y89,All causes,Private homes,10323
2017,Female,65-74,C00 to D48,Chapter 2 - Neoplasms,All places,17168
2017,Female,65-74,C00 to D48,Chapter 2 - Neoplasms,Elsewhere,263
2017,Female,65-74,C00 to D48,Chapter 2 - Neoplasms,Local authority care homes,52
2017,Female,65-74,C00 to D48,Chapter 2 - Neoplasms,NHS hospices,482
2017,Female,65-74,C00 to D48,Chapter 2 - Neoplasms,NHS hospitals,6302
2017,Female,65-74,C00 to D48,Chapter 2 - Neoplasms,Non-NHS hospices,3202
2017,Female,65-74,C00 to D48,Chapter 2 - Neoplasms,Non-NHS hospitals,38
2017,Female,65-74,C00 to D48,Chapter 2 - Neoplasms,Non-local authority care homes,1314
2017,Female,65-74,C00 to D48,Chapter 2 - Neoplasms,Other communal establishments,30
2017,Female,65-74,C00 to D48,Chapter 2 - Neoplasms,Private homes,5485
2017,Female,65-74,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,All places,84
2017,Female,65-74,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Elsewhere,0
2017,Female,65-74,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Local authority care homes,0
2017,Female,65-74,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,NHS hospices,1
2017,Female,65-74,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,NHS hospitals,70
2017,Female,65-74,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Non-NHS hospices,1
2017,Female,65-74,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Non-NHS hospitals,0
2017,Female,65-74,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Non-local authority care homes,4
2017,Female,65-74,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other communal establishments,0
2017,Female,65-74,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Private homes,8
2017,Female,65-74,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",All places,597
2017,Female,65-74,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Elsewhere,7
2017,Female,65-74,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Local authority care homes,5
2017,Female,65-74,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",NHS hospices,3
2017,Female,65-74,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",NHS hospitals,379
2017,Female,65-74,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Non-NHS hospices,16
2017,Female,65-74,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Non-NHS hospitals,0
2017,Female,65-74,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Non-local authority care homes,45
2017,Female,65-74,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Other communal establishments,1
2017,Female,65-74,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Private homes,141
2017,Female,65-74,F00 to F99,Chapter 5 - Mental and behavioural disorders,All places,922
2017,Female,65-74,F00 to F99,Chapter 5 - Mental and behavioural disorders,Elsewhere,5
2017,Female,65-74,F00 to F99,Chapter 5 - Mental and behavioural disorders,Local authority care homes,24
2017,Female,65-74,F00 to F99,Chapter 5 - Mental and behavioural disorders,NHS hospices,2
2017,Female,65-74,F00 to F99,Chapter 5 - Mental and behavioural disorders,NHS hospitals,308
2017,Female,65-74,F00 to F99,Chapter 5 - Mental and behavioural disorders,Non-NHS hospices,7
2017,Female,65-74,F00 to F99,Chapter 5 - Mental and behavioural disorders,Non-NHS hospitals,0
2017,Female,65-74,F00 to F99,Chapter 5 - Mental and behavioural disorders,Non-local authority care homes,460
2017,Female,65-74,F00 to F99,Chapter 5 - Mental and behavioural disorders,Other communal establishments,10
2017,Female,65-74,F00 to F99,Chapter 5 - Mental and behavioural disorders,Private homes,106
2017,Female,65-74,G00 to G99,Chapter 6 - Diseases of the nervous system,All places,1813
2017,Female,65-74,G00 to G99,Chapter 6 - Diseases of the nervous system,Elsewhere,5
2017,Female,65-74,G00 to G99,Chapter 6 - Diseases of the nervous system,Local authority care homes,29
2017,Female,65-74,G00 to G99,Chapter 6 - Diseases of the nervous system,NHS hospices,9
2017,Female,65-74,G00 to G99,Chapter 6 - Diseases of the nervous system,NHS hospitals,652
2017,Female,65-74,G00 to G99,Chapter 6 - Diseases of the nervous system,Non-NHS hospices,80
2017,Female,65-74,G00 to G99,Chapter 6 - Diseases of the nervous system,Non-NHS hospitals,2
2017,Female,65-74,G00 to G99,Chapter 6 - Diseases of the nervous system,Non-local authority care homes,628
2017,Female,65-74,G00 to G99,Chapter 6 - Diseases of the nervous system,Other communal establishments,25
2017,Female,65-74,G00 to G99,Chapter 6 - Diseases of the nervous system,Private homes,383
2017,Female,65-74,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,All places,0
2017,Female,65-74,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Elsewhere,0
2017,Female,65-74,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Local authority care homes,0
2017,Female,65-74,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,NHS hospices,0
2017,Female,65-74,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,NHS hospitals,0
2017,Female,65-74,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Non-NHS hospices,0
2017,Female,65-74,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Non-NHS hospitals,0
2017,Female,65-74,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Non-local authority care homes,0
2017,Female,65-74,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Other communal establishments,0
2017,Female,65-74,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Private homes,0
2017,Female,65-74,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,All places,2
2017,Female,65-74,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Elsewhere,0
2017,Female,65-74,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Local authority care homes,0
2017,Female,65-74,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,NHS hospices,0
2017,Female,65-74,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,NHS hospitals,2
2017,Female,65-74,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Non-NHS hospices,0
2017,Female,65-74,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Non-NHS hospitals,0
2017,Female,65-74,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Non-local authority care homes,0
2017,Female,65-74,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Other communal establishments,0
2017,Female,65-74,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Private homes,0
2017,Female,65-74,I00 to I99,Chapter 9 - Diseases of the circulatory system,All places,6993
2017,Female,65-74,I00 to I99,Chapter 9 - Diseases of the circulatory system,Elsewhere,174
2017,Female,65-74,I00 to I99,Chapter 9 - Diseases of the circulatory system,Local authority care homes,7
2017,Female,65-74,I00 to I99,Chapter 9 - Diseases of the circulatory system,NHS hospices,9
2017,Female,65-74,I00 to I99,Chapter 9 - Diseases of the circulatory system,NHS hospitals,3986
2017,Female,65-74,I00 to I99,Chapter 9 - Diseases of the circulatory system,Non-NHS hospices,59
2017,Female,65-74,I00 to I99,Chapter 9 - Diseases of the circulatory system,Non-NHS hospitals,2
2017,Female,65-74,I00 to I99,Chapter 9 - Diseases of the circulatory system,Non-local authority care homes,387
2017,Female,65-74,I00 to I99,Chapter 9 - Diseases of the circulatory system,Other communal establishments,11
2017,Female,65-74,I00 to I99,Chapter 9 - Diseases of the circulatory system,Private homes,2358
2017,Female,65-74,J00 to J99,Chapter 10 - Diseases of the respiratory system,All places,4984
2017,Female,65-74,J00 to J99,Chapter 10 - Diseases of the respiratory system,Elsewhere,43
2017,Female,65-74,J00 to J99,Chapter 10 - Diseases of the respiratory system,Local authority care homes,15
2017,Female,65-74,J00 to J99,Chapter 10 - Diseases of the respiratory system,NHS hospices,11
2017,Female,65-74,J00 to J99,Chapter 10 - Diseases of the respiratory system,NHS hospitals,3416
2017,Female,65-74,J00 to J99,Chapter 10 - Diseases of the respiratory system,Non-NHS hospices,95
2017,Female,65-74,J00 to J99,Chapter 10 - Diseases of the respiratory system,Non-NHS hospitals,1
2017,Female,65-74,J00 to J99,Chapter 10 - Diseases of the respiratory system,Non-local authority care homes,266
2017,Female,65-74,J00 to J99,Chapter 10 - Diseases of the respiratory system,Other communal establishments,10
2017,Female,65-74,J00 to J99,Chapter 10 - Diseases of the respiratory system,Private homes,1127
2017,Female,65-74,K00 to K93,Chapter 11 - Diseases of the digestive system,All places,1942
2017,Female,65-74,K00 to K93,Chapter 11 - Diseases of the digestive system,Elsewhere,8
2017,Female,65-74,K00 to K93,Chapter 11 - Diseases of the digestive system,Local authority care homes,3
2017,Female,65-74,K00 to K93,Chapter 11 - Diseases of the digestive system,NHS hospices,5
2017,Female,65-74,K00 to K93,Chapter 11 - Diseases of the digestive system,NHS hospitals,1541
2017,Female,65-74,K00 to K93,Chapter 11 - Diseases of the digestive system,Non-NHS hospices,32
2017,Female,65-74,K00 to K93,Chapter 11 - Diseases of the digestive system,Non-NHS hospitals,1
2017,Female,65-74,K00 to K93,Chapter 11 - Diseases of the digestive system,Non-local authority care homes,67
2017,Female,65-74,K00 to K93,Chapter 11 - Diseases of the digestive system,Other communal establishments,2
2017,Female,65-74,K00 to K93,Chapter 11 - Diseases of the digestive system,Private homes,283
2017,Female,65-74,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,All places,160
2017,Female,65-74,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Elsewhere,0
2017,Female,65-74,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Local authority care homes,0
2017,Female,65-74,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,NHS hospices,1
2017,Female,65-74,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,NHS hospitals,144
2017,Female,65-74,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Non-NHS hospices,1
2017,Female,65-74,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Non-NHS hospitals,0
2017,Female,65-74,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Non-local authority care homes,1
2017,Female,65-74,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Other communal establishments,1
2017,Female,65-74,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Private homes,12
2017,Female,65-74,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,All places,331
2017,Female,65-74,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Elsewhere,1
2017,Female,65-74,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Local authority care homes,1
